Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/Refined Attribute Definition,Status,Comments
detCord,string,"Detonating cord; A waterproof, flexible fabric tube containing a high explosive designed to transmit the detonation wave",commercialExplosives,DetonatingCordDescriptionText,nc : TextType,"A description of a waterproof, flexible fabric tube containing a high explosive designed to transmit a detonation wave.",Initial refinement completed. Pending Tiger Team review.,
liquidExplosive,string,"An explosive material in a liquid state. Examples include nitric acid esters (e.g. nitroglycerin, nitroglycol) and EGDN.",commercialExplosives,LiquidExplosiveText,nc : TextType,"An explosive material in a liquid state. Examples include nitric acid esters (e.g. nitroglycerin, nitroglycol) and EGDN.",Initial refinement completed. Pending Tiger Team review.,
shapedCharge,string,A main charge configuration incorporating explosives shaped so as to concentrate explosive force utilizing the Munroe Effect in a particular direction in order to cut or penetrate,"commercialExplosives, demolitionMaterials",ShapedChargeDescriptionText,nc : TextType,A description of a main charge configuration incorporating explosives shaped so as to concentrate explosive force utilizing the Munroe Effect in a particular direction in order to cut or penetrate.,Initial refinement completed. Pending Tiger Team review.,
plasticExplosive,string,A malleable or flexible explosive at room temperature,commercialExplosives,PlasticExplosiveDescriptionText,nc : TextType,A description of a malleable or flexible explosive at room temperature.,Initial refinement completed. Pending Tiger Team review.,
dynamite,string,"A high explosive used for blasting, consisting essentially of a mixture of, but not limited to, nitroglycerin, nitrocellulose, ammonium nitrate, sodium nitrate, and carbonaceous materials",commercialExplosives,DynamiteDescriptionText,nc : TextType,"A description of a recovered dynamite explosive, and the mixture of chemicals and materials it is composed of. ",Initial refinement completed. Pending Tiger Team review.,
propellants,string,An explosive material that normally functions by burning to produce a controlled release of gasses used for propulsion purposes.,"commercialExplosives, militaryExplosives",usmtf:PropellantCode,usmtf : PropellantCodeType,A specific type of propellant.,Mapped to existing NIEMOpen attribute.,
pyrotechnicFireworks,object,,commercialExplosives,,,,Needs to be refined by Tiger Team.,
consumerCategory,string,,pyrotechnicFireworks,ConsumerPyrotechnicFireworksText,xs:string,"A description of a consumer firework used to provide the main charge of an explosive (e.g. fountains, sparklers).",Initial refinement completed. Pending Tiger Team review.,
commercialCategory,string,,pyrotechnicFireworks,CommercialPyrotechnicFireworksText,xs:string,A description of a commercial firework used to provide the main charge of an explosive (e.g. 1.3G Display Shells).,Initial refinement completed. Pending Tiger Team review.,
smallArmsAmmunition,string,"Small arms are broadly categorized as those weapons intended for use by individual members of armed or security forces. They include handguns, rifles, carbines, sub-machine guns, and light machine guns.",commercialExplosives,,,,Needs to be refined by Tiger Team.,
militaryExplosives,object,Explosives manufactured for military use,"highExplosives, lowExplosives",MilitaryExplosives,ExplosiveType,Explosives manufactured for military use.,Initial refinement completed. Pending Tiger Team review.,
munitions,object,"A device with explosives; propellants; pyrotechnics; or chemical, biological, radiological, or nuclear material for use in operations including demolitions",militaryExplosives,,,,Needs to be refined by Tiger Team.,
mortarMunitions,string,"The complete munition, comprised of projectile and propellant system, to be fired from the mortar. The projectile normally comprises fuze, body filled with high explosives (HE) or other filling , obturator, and tail assembly",munitions,,,,Needs to be refined by Tiger Team.,
subMunitions,string,"Any munition that, to perform its task, separates from a parent munition. Submunitions are classified as bomblets, grenades, or mines.",munitions,SubMunitionText,nc : TextType,"Kind of munition that, to perform its task, separates from a parent munition. Submunitions are classified as bomblets, grenades, or mines.",Initial refinement completed. Pending Tiger Team review.,
missiles,string,A self-propelled munition whose trajectory or course is controlled while in flight,munitions,usmtf:MissileText,usmtf : MissileType,"A commonly used name, designation or nomenclature of military missile weapons.",Mapped to existing NIEMOpen attribute.,
projectile,object,"An object propelled by external force and continuing in motion by its own inertia (e.g., a bullet propelled from a firearm by the force of rapidly burning gases or other means).",munitions,,ProjectileType,,Needs to be refined by Tiger Team.,
grenades,string,Weapon designed to explode when a restraint is removed. Can be thrown or projected.,munitions,GrenadeDescriptionText,nc : TextType,A description of a weapon designed to explode when a restraint is removed. Can be thrown or projected.,Initial refinement completed. Pending Tiger Team review.,
seaMines,string,An explosive device laid in the water with the intention of damaging or sinking ships or of deterring shipping from entering an area. The term sea mine does not include devices attached to the bottom of ships or to harbor installations by personnel operating underwater,munitions,,,,Needs to be refined by Tiger Team.,
rockets,string,Self-propelled ordnance that uses gas pressure from rapidly burning propellant to transport a payload (e.g. warhead) to a desired target,munitions,,,,Needs to be refined by Tiger Team.,
landMines,string,"In land mine warfare, an explosive munition designed to be placed under, on or near the ground or other surface area and to be actuated by the presence, proximity or contact of a person, land vehicle, aircraft or boat, including landing craft.",munitions,usmtf:LandMineOtherText,usmtf : LandMineOtherType,A literal type of land mine.,Mapped to existing NIEMOpen attribute.,
airDroppedBombs,string,"An air-dropped explosive device designed to cause damage by way of thermal, blast, or fragmentation effects on impact.",munitions,AirDroppedBomb,niem-xs:string,"A description of an air-dropped explosive device designed to cause damage by way of thermal, blast, or fragmentation effects on impact.",Initial refinement completed. Pending Tiger Team review.,
